Region,Country,Indicator,Value,gdp_per_capita
 Africa,Botswana,trade_openness,74.11064198,7961.33814
Latin America & Caribbean,Brazil,trade_openness,28.97662365,8717.186278
Asia,Brunei,trade_openness,108.5096584,31086.75108
Europe,Bulgaria,trade_openness,123.723105,9737.601351
 Africa,Burkina Faso,trade_openness,60.18214321,774.8396902
 Africa,Burundi,trade_openness,41.85736024,261.2474725
Asia,Cambodia,trade_openness,123.5565238,1643.121389
 Africa,Cameroon,trade_openness,40.55391185,1497.909176
North America,Canada,trade_openness,64.9767045,46194.72523
 Africa,Cape Verde,trade_openness,116.2145286,3603.781794
 Africa,Central African Rep.,trade_openness,66.13513044,467.9074406
 Africa,Chad,trade_openness,74.57052556,709.5403101
Latin America & Caribbean,Chile,trade_openness,56.76178882,14896.45387
Asia,China,trade_openness,35.68008749,10261.67913
Latin America & Caribbean,Colombia,trade_openness,38.09475797,6432.387583
 Africa,Comoros,trade_openness,43.09452132,1393.522372
 Africa,Congo,trade_openness,112.2508627,2011.072399
Latin America & Caribbean,Costa Rica,trade_openness,66.09901583,12238.37496
 Africa,Côte d'Ivoire,trade_openness,45.59707942,2286.162777
Europe,Croatia,trade_openness,102.8497733,14853.23984
Latin America & Caribbean,Cuba,trade_openness,27.0947682,8821.818891
Europe,Cyprus,trade_openness,142.6429574,27858.371
 Africa,Czechia,trade_openness,67.28727813,23101.7777
Europe,Dem. Rep. Congo,trade_openness,144.8764656,545.2162123
Europe,Denmark,trade_openness,105.0016824,59822.09296
Middle East & North Africa,Djibouti,trade_openness,298.2662868,3408.846254
Latin America & Caribbean,Dominica,trade_openness,139.7866015,8300.375074
Latin America & Caribbean,Dominican Rep.,trade_openness,52.96040208,8282.116222
Latin America & Caribbean,Ecuador,trade_openness,46.7399136,6183.823825
Middle East & North Africa,Egypt,trade_openness,48.27827106,3020.03135
Latin America & Caribbean,El Salvador,trade_openness,77.17887668,4187.250031
 Africa,Eq. Guinea,trade_openness,107.381315,8131.923888
 Africa,Eritrea,trade_openness,47.39379012,642.5076591
Europe,Estonia,trade_openness,141.1541653,23659.87229
 Africa,Ethiopia,trade_openness,28.74202171,857.501351
Europe,Fiji,trade_openness,79.46667333,"6,266.97"
Europe,Finland,trade_openness,64.52272903,48685.85399
Pacific,France,trade_openness,29.12537837,40493.92857
 Africa,Gabon,trade_openness,72.93915874,7667.366861
Asia,Georgia,trade_openness,116.8684915,4769.186543
Europe,Germany,trade_openness,88.09866064,46258.87829
 Africa,Ghana,trade_openness,71.37819082,2202.115567
Europe,Greece,trade_openness,74.38446677,19582.53601
Europe,Greenland,trade_openness,85.84936014,54470.95639
Latin America & Caribbean,Grenada,trade_openness,110.0475655,10965.51316
