Region,Country,GDP per capita,Indicator,Exports
Middle East & North Africa,"Iran, Islamic Rep.",5520.310789,Trade Openness,48.78063765
Middle East & North Africa,Iraq,5955.10901,Trade Openness,76.37385693
Europe,Ireland,78660.95646,Trade Openness,239.2150917
Middle East & North Africa,Israel,43641.39774,Trade Openness,58.46463163
Europe,Italy,33189.5658,Trade Openness,60.13943
Latin America & Caribbean,Jamaica,5582.263778,Trade Openness,89.02638174
Asia,Japan,40246.88013,Trade Openness,36.81650736
Middle East & North Africa,Jordan,4330.329346,Trade Openness,87.61716788
Asia,Kazakhstan,9731.145207,Trade Openness,64.43150616
 Africa,Kenya,1816.546916,Trade Openness,33.40144307
Pacific,Kiribati,1655.078839,Trade Openness,98.39241362
Asia,"Korea, Rep.",31761.97769,Trade Openness,76.7093951
Europe,Kosovo,4417.50994,Trade Openness,83.82676987
Middle East & North Africa,Kuwait,32031.9801,Trade Openness,100.4875821
Asia,Kyrgyz Republic,1309.392992,Trade Openness,103.0849986
Asia,Lao PDR,2534.898277,Trade Openness,75.09189092
Europe,Latvia,17836.36489,Trade Openness,119.7300625
Middle East & North Africa,Lebanon,7784.316857,Trade Openness,63.61166881
 Africa,Lesotho,1157.535164,Trade Openness,134.6219131
 Africa,Liberia,621.8929536,Trade Openness,127.4522759
Middle East & North Africa,Libya,7683.750611,Trade Openness,118.3218047
Europe,Lithuania,19455.45413,Trade Openness,150.5807405
Europe,Luxembourg,114704.5942,Trade Openness,381.5166164
 Africa,Madagascar,522.2198092,Trade Openness,59.8221541
 Africa,Malawi,411.5523404,Trade Openness,66.60450958
Asia,Malaysia,11414.83766,Trade Openness,123.0909506
Asia,Maldives,10790.50024,Trade Openness,135.7373599
 Africa,Mali,890.7372855,Trade Openness,57.18899731
Middle East & North Africa,Malta,29416.23061,Trade Openness,261.0120836
Pacific,Marshall Islands,3788.163594,Trade Openness,125.7276819
 Africa,Mauritania,1677.919253,Trade Openness,94.2184136
 Africa,Mauritius,11203.54058,Trade Openness,92.8089776
Latin America & Caribbean,Mexico,9863.072699,Trade Openness,78.17597157
Europe,Moldova,4498.52085,Trade Openness,85.76872986
Asia,Mongolia,4295.235025,Trade Openness,125.758871
Europe,Montenegro,8832.036836,Trade Openness,109.4539028
